width,height,size,delay,rate,ratepercent
160,120,56,0.0,30.0,100.0\%
320,240,225,0.0,30.0,100.1\%
640,480,900,2.0,30.0,100.1\%
800,600,1406,4.0,23.4,77.9\%
1280,720,2700,6.0,10.0,33.3\%
1920,1080,6075,14.0,5.0,16.7\%
