width,height,size,delay,rate,ratepercent
160,120,56,2.0,29.9,99.7\%
320,240,225,2.0,30.0,100.0\%
640,480,900,17.0,29.6,98.6\%
800,600,1406,19.0,29.9,99.8\%
1280,720,2700,19.0,29.9,99.6\%
1920,1080,6075,100.0,9.4,31.5\%
