width,height,size,delay,rate,ratepercent
160,120,56,6.0,30.0,100.0\%
320,240,225,16.0,30.0,100.1\%
640,480,900,31.0,30.0,100.0\%
800,600,1406,44.0,24.0,79.9\%
1280,720,2700,73.0,10.0,33.3\%
1920,1080,6075,104.0,5.0,16.7\%
