index,speed,expected,measured,odometry,odometryerror,odometryerrorpercent
1,0.5,85.9,89.2,89.2,1.6,1.9\%
2,1.0,171.9,187.8,187.8,8.0,4.6\%
3,1.5,257.8,280.7,280.7,11.4,4.4\%
4,-0.5,274.1,272.2,272.2,0.9,1.1\%
5,-1.0,188.1,176.4,176.4,5.9,3.4\%
6,-1.5,102.2,72.0,72.0,15.1,5.9\%
